player,team,position,age,nationality,minutes_played,goals,assists,xg,xa,goals_p90,assists_p90,xg_p90,xa_p90,shots,shots_on_target,passes,pass_accuracy,progressive_passes,progressive_carries,dribbles,tackles,interceptions,clearances,aerial_wins,fouls,fouled,yellow_cards,red_cards,penalties_scored,penalties_missed
Harry Kane,Tottenham Hotspur,FW,22,England,3060,25,1,23.4,1.2,0.74,0.03,0.69,0.04,132,58,1234,78.5,89,45,32,12,8,15,28,18,4,0,5,0
Sergio Aguero,Manchester City,FW,27,Argentina,2430,24,4,22.1,3.8,0.89,0.15,0.82,0.14,118,62,987,82.3,76,52,41,8,5,4,12,15,2,0,4,1
Jamie Vardy,Leicester City,FW,29,England,2880,24,7,19.8,5.1,0.75,0.22,0.62,0.16,94,48,856,72.1,54,68,56,15,12,8,14,22,6,0,0,0
Riyad Mahrez,Leicester City,MF,25,Algeria,2970,17,11,14.2,9.8,0.52,0.33,0.43,0.30,87,38,1432,81.2,98,89,124,28,18,6,8,32,5,0,2,0
Mesut Ozil,Arsenal,MF,27,Germany,2160,6,19,5.8,18.4,0.25,0.79,0.24,0.77,42,18,1654,88.7,142,34,45,22,14,4,3,12,2,0,0,0
Kevin De Bruyne,Manchester City,MF,25,Belgium,2790,12,16,10.5,14.2,0.39,0.52,0.34,0.46,78,32,1876,84.5,156,78,67,34,16,8,5,18,4,0,0,0
Alexis Sanchez,Arsenal,FW,27,Chile,2880,13,8,11.2,6.9,0.41,0.25,0.35,0.22,96,42,1345,79.8,89,76,89,31,12,7,10,28,8,1,1,0
Roberto Firmino,Liverpool,FW,24,Brazil,2610,11,10,9.8,9.1,0.38,0.35,0.34,0.31,74,31,1423,80.4,94,65,58,42,18,12,6,22,5,0,0,0
Philippe Coutinho,Liverpool,MF,23,Brazil,2340,8,7,7.2,6.4,0.31,0.27,0.28,0.25,68,28,1567,83.1,112,54,78,26,14,5,4,18,3,0,0,0
Eden Hazard,Chelsea,MF,25,Belgium,2520,4,3,3.8,2.9,0.14,0.11,0.14,0.10,52,18,1678,86.2,98,82,145,24,16,6,3,42,2,0,0,0
Diego Costa,Chelsea,FW,27,Spain,2160,12,5,11.4,4.2,0.50,0.21,0.48,0.18,64,28,789,74.3,45,38,28,18,8,12,18,25,7,1,2,0
Olivier Giroud,Arsenal,FW,29,France,1890,16,5,14.8,4.1,0.76,0.24,0.70,0.20,82,38,634,76.8,38,24,15,12,6,24,45,15,3,0,0,0
Christian Benteke,Liverpool,FW,25,Belgium,2340,9,4,8.9,3.8,0.35,0.15,0.34,0.15,71,29,567,71.2,32,28,18,14,5,32,58,14,4,0,1,0
Andy Carroll,West Ham,FW,27,England,1080,9,2,7.2,1.8,0.75,0.17,0.60,0.15,38,18,234,68.4,12,8,6,8,3,18,32,8,2,0,0,0
Dimitri Payet,West Ham,MF,28,France,2790,9,12,7.8,10.5,0.29,0.39,0.25,0.34,72,26,1789,82.4,124,67,89,22,14,8,4,28,4,0,2,0
Georginio Wijnaldum,Newcastle,MF,25,Netherlands,3060,11,5,9.4,4.2,0.32,0.15,0.28,0.12,68,28,1876,81.5,98,56,34,42,18,12,8,22,5,0,0,0
Mark Noble,West Ham,MF,28,England,2970,5,6,4.2,5.8,0.15,0.18,0.13,0.18,38,14,2134,85.6,112,24,12,56,24,18,4,28,6,0,2,0
Yaya Toure,Manchester City,MF,32,Ivory Coast,2070,7,4,6.1,3.8,0.30,0.17,0.27,0.17,48,18,1567,87.2,89,45,28,34,16,12,8,14,4,0,1,0
David Silva,Manchester City,MF,30,Spain,2340,4,9,3.2,8.4,0.15,0.35,0.12,0.32,34,12,1987,89.4,134,38,67,18,12,4,2,12,1,0,0,0
Juan Mata,Manchester United,MF,27,Spain,1890,6,4,5.1,3.8,0.29,0.19,0.24,0.18,42,16,1123,84.8,78,24,28,14,8,4,3,8,2,0,0,0
Wayne Rooney,Manchester United,FW,30,England,2250,8,2,7.2,1.8,0.32,0.08,0.29,0.07,52,22,1345,79.6,67,34,18,22,12,8,12,18,4,0,1,0
Zlatan Ibrahimovic,Manchester United,FW,34,Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry Kane,Tottenham Hotspur,FW,22,England,3060,25,1,23.4,1.2,0.74,0.03,0.69,0.04,132,58,1234,78.5,89,45,32,12,8,15,28,18,4,0,5,0
Son Heung-min,Tottenham Hotspur,FW,23,South Korea,1890,4,1,3.8,0.9,0.19,0.05,0.18,0.04,32,12,678,76.2,34,45,34,8,6,4,6,12,2,0,0,0
Dele Alli,Tottenham Hotspur,MF,19,England,2520,10,9,8.4,7.8,0.36,0.32,0.30,0.28,64,24,1234,78.9,67,56,45,28,14,8,8,18,4,0,0,0
Christian Eriksen,Tottenham Hotspur,MF,23,Denmark,2970,6,13,5.2,11.4,0.19,0.39,0.16,0.35,58,22,1789,83.4,124,45,56,24,12,6,4,14,3,0,0,0
Hugo Lloris,Tottenham Hotspur,GK,29,France,3420,0,0,0,0,0,0,0,0,0,0,987,88.5,12,4,0,0,0,12,4,0,2,0
Kyle Walker,Tottenham Hotspur,DF,25,England,3060,0,3,0.2,2.8,0,0.09,0.01,0.08,8,2,2345,81.2,89,67,24,56,18,45,12,18,6,0,0,0
Toby Alderweireld,Tottenham Hotspur,DF,26,Belgium,3060,2,1,1.8,0.8,0.06,0.03,0.05,0.02,12,4,2234,86.7,67,34,8,45,24,89,24,12,4,0,0,0
Jan Vertonghen,Tottenham Hotspur,DF,28,Belgium,2970,1,2,0.8,1.6,0.03,0.06,0.02,0.05,8,2,2189,85.4,56,28,12,42,18,78,18,14,5,0,0,0
Danny Rose,Tottenham Hotspur,DF,25,England,2340,1,3,0.6,2.4,0.04,0.12,0.02,0.09,6,2,1456,79.8,45,38,28,34,16,24,8,18,5,0,0,0
Eric Dier,Tottenham Hotspur,DF,22,England,2880,3,1,2.4,0.8,0.09,0.03,0.08,0.03,14,6,1876,82.1,56,24,14,56,22,67,18,16,6,0,0,0
Victor Wanyama,Tottenham Hotspur,MF,24,Kenya,2430,1,2,0.8,1.6,0.04,0.07,0.03,0.06,6,2,1567,78.9,45,28,12,67,28,24,12,22,8,1,0,0
Mousa Dembele,Tottenham Hotspur,MF,28,Belgium,1980,1,3,0.6,2.4,0.05,0.14,0.03,0.11,8,2,1234,84.5,56,67,45,34,18,12,8,14,4,0,0,0
Erik Lamela,Tottenham Hotspur,MF,24,Argentina,1710,3,2,2.4,1.8,0.16,0.11,0.13,0.10,28,12,876,77.8,45,34,38,18,12,8,6,16,5,0,0,0
Nacer Chadli,Tottenham Hotspur,MF,26,Belgium,1080,2,1,1.8,0.8,0.17,0.07,0.15,0.07,14,6,567,75.4,28,18,24,8,6,4,4,8,2,0,0,0
Vincent Janssen,Tottenham Hotspur,FW,22,Netherlands,540,2,0,1.8,0,0.33,0,0.30,0,12,6,123,68.4,8,6,6,4,2,2,4,4,1,0,0,0
